ID,Place (x),Knowledge (y),Action (z),K5Name
3460,-0.327,-0.234,0.103,Ecospirituality
3470,-0.146,-0.277,-0.046,Ecospirituality
3490,-0.008,-0.273,-0.102,Ecospirituality
3510,-0.367,-0.265,-0.162,Ecospirituality
3513,-0.912,-0.764,0.279,Ecospirituality
3518,-0.07,-0.181,0.085,Ecospirituality
3530,-0.611,-0.068,0.028,Ecospirituality
3533,-0.545,-0.183,-0.078,Ecospirituality
3534,-0.532,-0.357,0.061,Ecospirituality
3541,-0.644,-0.708,0.197,Ecospirituality
3542,-0.681,-0.079,0.073,Ecospirituality
3553,-0.373,-0.251,-0.23,Ecospirituality
3559,-0.841,-0.485,0.406,Ecospirituality
3565,-0.406,-0.381,0.325,Ecospirituality
3567,-0.177,-0.029,-0.029,Ecospirituality
3580,-0.367,-0.335,-0.109,Ecospirituality
3591,-0.278,-0.368,0.192,Ecospirituality
3612,-0.545,-0.177,0.118,Ecospirituality
3621,-0.146,-0.405,0.328,Ecospirituality
3623,-0.625,-0.658,0.407,Ecospirituality
3631,-0.192,-0.362,0.303,Ecospirituality
3637,-0.24,-0.357,-0.02,Ecospirituality
3651,-0.371,-0.619,-0.089,Ecospirituality
3652,-0.533,-0.447,0.36,Ecospirituality
3657,-0.619,-0.409,0.031,Ecospirituality
3664,-0.491,-0.343,-0.055,Ecospirituality
3669,-0.52,-0.383,-0.156,Ecospirituality
3682,-0.192,-0.253,0.122,Ecospirituality
3684,-0.442,-0.655,0.034,Ecospirituality
3701,0.052,-0.306,-0.013,Ecospirituality
3702,-0.42,-0.266,-0.221,Ecospirituality
3704,-0.427,-0.086,-0.036,Ecospirituality
3747,-0.536,-0.272,0.026,Ecospirituality
3758,-0.419,-0.582,0.562,Ecospirituality
3764,-0.28,-0.191,0.124,Ecospirituality
3767,-0.571,-0.516,0.484,Ecospirituality
3777,0.322,-0.282,-0.009,Ecospirituality
3785,-0.25,-0.244,-0.044,Ecospirituality
3786,-0.185,-0.262,-0.157,Ecospirituality
3787,-0.887,-0.246,-0.155,Ecospirituality
3815,-0.297,-0.51,-0.133,Ecospirituality
3826,0.079,-0.289,0.182,Ecospirituality
3828,-0.48,-0.153,0.02,Ecospirituality
3829,-0.927,-0.884,0.405,Ecospirituality
3851,-0.19,-0.244,-0.079,Ecospirituality
3862,-0.633,-0.397,-0.21,Ecospirituality
3881,-0.631,-0.207,0.03,Ecospirituality
3882,-0.395,-0.315,0.304,Ecospirituality
4016,-0.582,-0.204,0.162,Ecospirituality
4024,-0.313,-0.405,0.397,Ecospirituality
4043,-0.243,-0.13,-0.063,Ecospirituality
4045,-0.253,-0.197,-0.013,Ecospirituality
4046,-0.493,-0.372,0.05,Ecospirituality
4052,-0.375,-0.336,-0.331,Ecospirituality
4055,-0.172,-0.165,-0.04,Ecospirituality
4058,-0.583,-0.585,0.191,Ecospirituality
4066,-0.13,-0.083,-0.081,Ecospirituality
4070,-0.579,-0.533,0.529,Ecospirituality
4076,-0.434,-0.086,0.071,Ecospirituality
4079,-0.137,-0.245,-0.155,Ecospirituality
4143,-0.5,-0.497,-0.219,Ecospirituality
4151,-0.743,-0.601,-0.538,Ecospirituality
4174,-0.58,-0.811,0.612,Ecospirituality
4180,-0.157,-0.293,0.162,Ecospirituality
4209,-0.369,-0.457,0.207,Ecospirituality
4256,0.148,-0.155,0.118,Ecospirituality
4265,-0.44,-0.231,-0.037,Ecospirituality
4273,-0.339,-0.143,0.059,Ecospirituality
4277,0.069,-0.069,-0.029,Ecospirituality
4327,-0.231,-0.246,-0.057,Ecospirituality
4336,-0.115,-0.256,0.176,Ecospirituality
4337,-0.115,-0.256,0.176,Ecospirituality
4347,-0.704,-0.39,0.169,Ecospirituality
4353,-0.747,-0.647,0.184,Ecospirituality
4361,-0.26,-0.167,-0.16,Ecospirituality
4367,-0.307,-0.013,0.004,Ecospirituality
4379,0.013,-0.215,0.116,Ecospirituality
4383,-0.369,-0.63,0.527,Ecospirituality
4400,-0.187,-0.208,0.06,Ecospirituality
4401,0.086,-0.223,0.194,Ecospirituality
4420,-0.287,-0.62,0.44,Ecospirituality
4430,-0.375,-0.196,0.078,Ecospirituality
4440,-0.357,-0.186,0.178,Ecospirituality
4453,-0.328,-0.281,0.013,Ecospirituality
4458,-0.053,-0.391,-0.141,Ecospirituality
4464,-0.43,-0.273,0.092,Ecospirituality
4473,0.127,-0.451,0.302,Ecospirituality
4492,-0.124,-0.25,-0.198,Ecospirituality
4496,-0.078,-0.349,0.12,Ecospirituality
4498,-0.245,-0.248,-0.143,Ecospirituality
4514,-0.451,-0.334,-0.013,Ecospirituality
4517,-0.758,-0.809,-0.157,Ecospirituality
4547,-0.356,-0.53,-0.168,Ecospirituality
4565,-0.499,-0.133,0.116,Ecospirituality
4570,-0.435,-0.351,0.06,Ecospirituality
4585,-0.141,-0.225,0.006,Ecospirituality
4596,-0.049,-0.422,0.321,Ecospirituality
4598,-0.22,-0.156,-0.056,Ecospirituality
4599,-0.22,-0.156,-0.056,Ecospirituality
4629,-0.198,-0.184,-0.034,Ecospirituality
4630,-0.44,-0.268,0.033,Ecospirituality
4637,-0.655,-0.637,-0.007,Ecospirituality
4723,-0.311,-0.237,0.159,Ecospirituality
4741,-0.046,-0.061,0.034,Ecospirituality
4743,-0.331,-0.086,-0.065,Ecospirituality
4745,0.144,-0.176,0.123,Ecospirituality
4747,0.026,-0.107,-0.092,Ecospirituality
4751,0.004,-0.131,-0.075,Ecospirituality
4755,-0.34,-0.288,-0.249,Ecospirituality
4758,-0.337,-0.284,0.102,Ecospirituality
4761,-0.254,-0.383,0.2,Ecospirituality
4762,-0.491,-0.5,-0.261,Ecospirituality
4763,-0.346,-0.305,-0.018,Ecospirituality
4785,-0.254,-0.336,0.051,Ecospirituality
4802,-0.402,-0.458,-0.311,Ecospirituality
4811,-0.82,-0.279,0.156,Ecospirituality
4826,-0.487,-0.196,-0.08,Ecospirituality
4841,-0.387,-0.215,0.069,Ecospirituality
4848,-0.153,-0.214,-0.009,Ecospirituality
4860,-0.717,-0.136,-0.017,Ecospirituality
4862,0.181,-0.162,0.013,Ecospirituality
4863,-0.377,-0.059,0.024,Ecospirituality
4875,-0.392,-0.198,0.164,Ecospirituality
4879,0.037,-0.067,-0.042,Ecospirituality
4909,-0.154,-0.214,-0.134,Ecospirituality
4920,-0.415,-0.392,0.188,Ecospirituality
4922,-0.002,-0.4,0.367,Ecospirituality
4926,-0.773,-0.389,0.225,Ecospirituality
4930,-0.186,-0.157,-0.023,Ecospirituality
4933,-0.186,-0.347,0.084,Ecospirituality
4944,-0.038,-0.121,-0.063,Ecospirituality
4945,0.008,-0.342,0.18,Ecospirituality
4957,-0.03,-0.393,0.262,Ecospirituality
4959,-0.013,-0.066,-0.015,Ecospirituality
4960,-0.073,-0.139,0.03,Ecospirituality
4965,-0.307,-0.093,0.019,Ecospirituality
4967,-0.355,-0.399,0.014,Ecospirituality
4993,-0.711,-0.518,-0.027,Ecospirituality
4994,-0.205,-0.459,0.457,Ecospirituality
5000,-0.07,-0.181,0.05,Ecospirituality
5001,-0.232,-0.213,0.165,Ecospirituality
5002,-0.177,-0.438,-0.041,Ecospirituality
5011,-0.261,-0.075,-0.028,Ecospirituality
5013,-0.155,-0.156,0.141,Ecospirituality
5016,0.013,-0.175,-0.056,Ecospirituality
5022,-0.054,-0.075,-0.018,Ecospirituality
5029,-0.32,-0.532,-0.153,Ecospirituality
5038,-0.075,-0.108,-0.04,Ecospirituality
5041,-0.146,-0.156,0.148,Ecospirituality
5043,-0.152,-0.232,0.222,Ecospirituality
5046,0.077,-0.134,0.016,Ecospirituality
5047,-0.045,-0.196,-0.036,Ecospirituality
5049,-0.4,-0.23,0.185,Ecospirituality
3207,0.117,0.041,-0.023,Science Policy
3227,-0.105,0.246,0.473,Science Policy
3232,-0.183,0.239,0.188,Science Policy
3249,0.104,-0.042,0.876,Science Policy
3293,0.215,0.206,0.031,Science Policy
3295,0.333,0.748,-0.1,Science Policy
3300,-0.023,0.085,0.282,Science Policy
3305,-0.08,0.199,0.384,Science Policy
3338,-0.03,0.201,0.07,Science Policy
3342,-0.062,0.377,0.192,Science Policy
3344,0.13,0.181,0.431,Science Policy
3345,-0.01,0.269,0.384,Science Policy
3347,0.136,0.304,0.226,Science Policy
3355,-0.244,0.341,0.37,Science Policy
3358,-0.056,0.248,0.482,Science Policy
3360,0.119,0.506,0.196,Science Policy
3362,-0.096,0.485,0.288,Science Policy
3390,0.34,0.095,0.294,Science Policy
